Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-01-12,How to Lose a Guy in 10 Days,2003,https://boxd.it/8re91H,4.5,,,2025-01-12
2025-03-04,Baby Driver,2017,https://boxd.it/90Md7H,3.5,,,2025-03-03
2025-03-04,La La Land,2016,https://boxd.it/90Mebb,4,,,2025-03-03
2025-03-04,The Wolf of Wall Street,2013,https://boxd.it/90MeGX,5,,,2025-03-03
2025-03-04,About Time,2013,https://boxd.it/90MhJb,4.5,,,2025-03-03
2025-03-04,The Godfather,1972,https://boxd.it/90MP0J,5,,,2025-03-03
2025-03-04,Good Will Hunting,1997,https://boxd.it/90MQ5F,5,,,2025-03-03
2025-03-04,Meet Joe Black,1998,https://boxd.it/90MR6z,3,,,2025-03-03
2025-03-04,The Fast and the Furious,2001,https://boxd.it/90MRUz,4,,,2025-03-03
2025-03-04,How to Lose a Guy in 10 Days,2003,https://boxd.it/90MSmt,4.5,Yes,,2025-03-03
2025-03-04,2 Fast 2 Furious,2003,https://boxd.it/90MSVt,3.5,,,2025-03-03
2025-03-04,The Notebook,2004,https://boxd.it/90MY4v,4,,,2025-03-03
2025-03-04,The Fast and the Furious: Tokyo Drift,2006,https://boxd.it/90MZ2F,3.5,,,2025-03-03
2025-03-04,Taxi Driver,1976,https://boxd.it/90QvGN,3.5,,,2025-03-03
2025-03-04,The Brutalist,2024,https://boxd.it/91awz9,5,,,2025-03-03
2025-03-06,Hustle,2022,https://boxd.it/92gYJH,4,,,2025-03-05
2025-03-06,Coach Carter,2005,https://boxd.it/92gZK7,5,,,2025-03-05
2025-03-07,The Godfather Part II,1974,https://boxd.it/92Wslx,5,,,2025-03-06
2025-03-07,Joker,2019,https://boxd.it/92WtGL,3.5,,,2025-03-06
2025-03-26,Anora,2024,https://boxd.it/9etPf3,3.5,,,2025-03-25
2025-04-07,Life Is Beautiful,1997,https://boxd.it/9lkqcX,5,,,2025-04-06
2025-04-09,(500) Days of Summer,2009,https://boxd.it/9mcazf,3,,,2025-04-08
2025-04-11,The Big Short,2015,https://boxd.it/9nuAdp,4,,,2025-04-11
2025-10-07,The Godfather Part II,1974,https://boxd.it/bidpw3,5,Yes,,2025-10-07
2025-10-09,The Godfather,1972,https://boxd.it/bjl49R,5,Yes,,2025-10-09
2025-10-19,The Worst Person in the World,2021,https://boxd.it/bpS8Zd,4.5,,,2025-10-19
2025-11-22,Heat,1995,https://boxd.it/bN2agr,4.5,,,2025-11-21
2025-11-25,The Dark Knight,2008,https://boxd.it/bPvNTt,4.5,,,2025-11-24
2025-12-30,One Battle After Another,2025,https://boxd.it/cjpAnd,3.5,,,2025-12-29
2025-12-30,American Psycho,2000,https://boxd.it/cjpDUT,3,,,2025-12-29
2025-12-31,Ocean's Eleven,2001,https://boxd.it/ck9GXD,4,,,2025-12-30
2026-01-07,Pulp Fiction,1994,https://boxd.it/cuSLz7,4.5,,,2026-01-06
2026-01-22,13 Going on 30,2004,https://boxd.it/cLlGYD,3,,,2026-01-21
2026-02-03,Marty Supreme,2025,https://boxd.it/cXSPHb,4.5,,,2026-02-02
2026-02-14,Before Sunrise,1995,https://boxd.it/d7bEJf,5,,,2026-02-13
2026-02-14,Before Sunset,2004,https://boxd.it/d7lOiD,5,,,2026-02-13
2026-02-16,Before Midnight,2013,https://boxd.it/d97c8Z,5,,,2026-02-15
2026-02-23,Hamnet,2025,https://boxd.it/dgta9N,5,,,2026-02-22
2026-02-26,Casablanca,1942,https://boxd.it/diXzEJ,4.5,,,2026-02-25
2026-03-22,Project Hail Mary,2026,https://boxd.it/dCCM8z,4.5,,,2026-03-21
2026-03-24,10 Things I Hate About You,1999,https://boxd.it/dER4F3,4.5,,,2026-03-23
2026-03-25,GoodFellas,1990,https://boxd.it/dFFhy5,4.5,,,2026-03-24
2026-04-03,Wild Tales,2014,https://boxd.it/dNNn1J,4.5,,,2026-04-02
2026-05-01,Waiting for the Hearse,1985,https://boxd.it/ebbbGF,3.5,,,2026-04-30
2026-05-03,The Devil Wears Prada 2,2026,https://boxd.it/ed4nZN,3.5,,,2026-05-02
2026-05-13,Entourage,2015,https://boxd.it/el1t5H,3.5,,,2026-05-12
2026-05-25,Michael,2026,https://boxd.it/euRDbF,3.5,,,2026-05-24
2026-05-26,Whiplash,2014,https://boxd.it/evvYw5,5,,,2026-05-25
2026-06-27,Obsession,2025,https://boxd.it/eX9aLH,4,,,2026-06-26
2026-06-29,Amores Perros,2000,https://boxd.it/eZEBG5,4.5,,,2026-06-28
2026-07-18,Voicemails for Isabelle,2026,https://boxd.it/fixD5d,3.5,,,2026-07-18
2026-08-14,Fight Club,1999,https://boxd.it/fOrN1r,4.5,,,2026-08-13
2026-08-19,The Odyssey,2026,https://boxd.it/fUyPid,4.5,,,2026-08-18
2026-08-24,12 Angry Men,1957,https://boxd.it/fZKodp,4.5,,,2026-08-23
