Date,Name,Year,Letterboxd URI,Rating
2025-01-12,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,4.5
2025-01-12,The Fast and the Furious,2001,https://boxd.it/1XMu,4
2025-01-12,The Fast and the Furious: Tokyo Drift,2006,https://boxd.it/1Yeo,3.5
2025-01-12,Fast & Furious,2009,https://boxd.it/1Pnm,3.5
2025-01-13,La La Land,2016,https://boxd.it/a5fa,4
2025-01-22,The Notebook,2004,https://boxd.it/1UNE,4
2025-01-23,Good Will Hunting,1997,https://boxd.it/2ahY,5
2025-01-24,Meet Joe Black,1998,https://boxd.it/2aEI,3
2025-01-28,The Godfather,1972,https://boxd.it/2aNK,5
2025-02-07,About Time,2013,https://boxd.it/43bI,4.5
2025-02-19,Fast Five,2011,https://boxd.it/BgO,4
2025-02-19,Baby Driver,2017,https://boxd.it/bhF2,3.5
2025-03-04,Scarface,1983,https://boxd.it/2b7g,4
2025-03-04,The Brutalist,2024,https://boxd.it/k4BO,5
2025-03-06,Hustle,2022,https://boxd.it/qpig,4
2025-03-06,Coach Carter,2005,https://boxd.it/218e,5
2025-03-07,The Godfather Part II,1974,https://boxd.it/2aNq,5
2025-03-07,Don't Look Up,2021,https://boxd.it/o0Hc,1.5
2025-03-07,Joker,2019,https://boxd.it/h4cS,4
2025-03-07,The Pianist,2002,https://boxd.it/2aqc,5
2025-03-07,Society of the Snow,2023,https://boxd.it/y9aw,4.5
2025-03-07,Purple Hearts,2022,https://boxd.it/sFiK,3
2025-03-07,Creed III,2023,https://boxd.it/pf68,3.5
2025-03-07,Inside Out 2,2024,https://boxd.it/CFrC,4
2025-03-07,Inseparables,2016,https://boxd.it/eMfU,4.5
2025-03-07,"Live Twice, Love Once",2019,https://boxd.it/mFiS,3.5
2025-03-07,Okupas,2000,https://boxd.it/s7Ji,5
2025-03-07,Argentina 1985,2022,https://boxd.it/qLxM,4
2025-03-07,Nine Queens,2000,https://boxd.it/1HBA,5
2025-03-07,The Invisible Guest,2016,https://boxd.it/euce,4.5
2025-03-07,The After,2023,https://boxd.it/Ikpi,3
2025-03-07,The Angel,2018,https://boxd.it/gMtc,3
2025-03-07,Through My Window,2022,https://boxd.it/uQGW,2.5
2025-03-07,Incantation,2022,https://boxd.it/wFiI,4
2025-03-07,Nerve,2016,https://boxd.it/aJIc,3.5
2025-03-07,Real Steel,2011,https://boxd.it/147m,4
2025-03-07,Iron Man,2008,https://boxd.it/28dA,3.5
2025-03-09,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4
2025-03-23,Carancho,2010,https://boxd.it/L9S,2.5
2025-03-23,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,3
2025-03-25,Coup de Chance,2023,https://boxd.it/ws60,3.5
2025-03-25,Anora,2024,https://boxd.it/Egcw,3.5
2025-03-25,Underdogs,2013,https://boxd.it/4Pck,4
2025-04-07,Life Is Beautiful,1997,https://boxd.it/29Wm,5
2025-04-09,(500) Days of Summer,2009,https://boxd.it/1EmM,3.5
2025-04-09,The Queen's Gambit,2020,https://boxd.it/s1Ym,4
2025-04-09,Bohemian Rhapsody,2018,https://boxd.it/f1TK,4
2025-04-09,Coco,2017,https://boxd.it/bYJQ,4
2025-04-09,The Wolf of Wall Street,2013,https://boxd.it/3C1m,5
2025-04-09,Toc Toc,2017,https://boxd.it/fwnq,3.5
2025-04-09,Lion,2016,https://boxd.it/b2La,4.5
2025-04-10,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,2
2025-04-11,The Big Short,2015,https://boxd.it/ajZw,4
2025-04-12,Fast & Furious 6,2013,https://boxd.it/2UG6,4
2025-05-10,Soul,2020,https://boxd.it/ioLA,4.5
2025-05-12,Furious 7,2015,https://boxd.it/5cVs,3.5
2025-07-16,The Secret in Their Eyes,2009,https://boxd.it/1vWw,5
2025-07-25,F1,2025,https://boxd.it/yjVM,4
2025-07-26,Project X,2012,https://boxd.it/neO,3
2025-07-28,21,2008,https://boxd.it/20BO,3.5
2025-08-01,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,4.5
2025-08-10,Just Go with It,2011,https://boxd.it/Doq,4
2025-08-16,Creed,2015,https://boxd.it/a2qk,4
2025-08-16,Anyone But You,2023,https://boxd.it/EzA8,3
2025-09-27,Homo Argentum,2025,https://boxd.it/Uzoo,2.5
2025-10-10,Gandhi,1982,https://boxd.it/29Dk,4
2025-10-10,2 Fast 2 Furious,2003,https://boxd.it/2a4g,4
2025-10-14,The Conjuring: Last Rites,2025,https://boxd.it/Dh8e,3
2025-10-14,Billy Elliot,2000,https://boxd.it/2bdy,3.5
2025-10-15,Raging Bull,1980,https://boxd.it/28yI,4.5
2025-10-15,21 Jump Street,2012,https://boxd.it/J0,3
2025-10-19,The Worst Person in the World,2021,https://boxd.it/oyws,4.5
2025-11-22,Heat,1995,https://boxd.it/2bg8,4.5
2025-11-25,The Dark Knight,2008,https://boxd.it/2b0k,4.5
2025-12-28,American Psycho,2000,https://boxd.it/28Vs,3
2025-12-28,One Battle After Another,2025,https://boxd.it/DUHM,3.5
2025-12-31,Ocean's Eleven,2001,https://boxd.it/2aZm,4
