Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-01-12,How to Lose a Guy in 10 Days,2003,https://boxd.it/8re91H,4.5,,que solo que estoy,,2025-01-12
2025-03-04,Baby Driver,2017,https://boxd.it/90Md7H,3.5,,"Muy buena película, aunque sea de autos y la sub trama sea muy parecida a rápidos y furiosos, el objetivo de la película no es parecido",,2025-03-03
2025-03-04,La La Land,2016,https://boxd.it/90Mebb,4,,excelentísima,,2025-03-03
2025-03-04,The Wolf of Wall Street,2013,https://boxd.it/90MeGX,5,,beeeee🐐🐐🐐,,2025-03-03
2025-03-04,About Time,2013,https://boxd.it/90MhJb,4.5,,lo bien que la pasó el amigo Tim con el casting que le pusieron es impresionante,,2025-03-03
2025-03-04,The Godfather,1972,https://boxd.it/90MP0J,5,,mejor película de la historia junto al padrino 2.,,2025-03-03
2025-03-04,Good Will Hunting,1997,https://boxd.it/90MQ5F,5,,no hay palabras para describir este peliculon,,2025-03-03
2025-03-04,Meet Joe Black,1998,https://boxd.it/90MR6z,3,,"está buena pero es muy larga, suma muchísimos puntos el final",,2025-03-03
2025-03-04,The Fast and the Furious,2001,https://boxd.it/90MRUz,4,,👏🏼👏🏼👏🏼,,2025-03-03
2025-03-04,How to Lose a Guy in 10 Days,2003,https://boxd.it/90MSmt,4.5,Yes,que solo que estoy,,2025-03-03
2025-03-04,2 Fast 2 Furious,2003,https://boxd.it/90MSVt,3.5,,la mejor dupla de la saga.,,2025-03-03
2025-03-04,The Notebook,2004,https://boxd.it/90MY4v,4,,vista obligatoria,,2025-03-03
2025-03-04,The Fast and the Furious: Tokyo Drift,2006,https://boxd.it/90MZ2F,3.5,,qué personaje del carajo Han😍,,2025-03-03
2025-03-04,Taxi Driver,1976,https://boxd.it/90QvGN,3.5,,qué actorazo que sos deniro por favor,,2025-03-03
2025-03-04,The Brutalist,2024,https://boxd.it/91awz9,5,,locura de película,,2025-03-03
2025-03-06,Hustle,2022,https://boxd.it/92gYJH,4,,fenómenos,,2025-03-05
2025-03-06,Coach Carter,2005,https://boxd.it/92gZK7,5,,mejor película de deportes de la historia,,2025-03-05
2025-03-07,The Godfather Part II,1974,https://boxd.it/92Wslx,5,,la mejor película de la historia junto al padrino 1,,2025-03-06
2025-03-07,Joker,2019,https://boxd.it/92WtGL,3.5,,joaquín phoenix no podes personificar de esa manera al joker por dios,,2025-03-06
2025-03-26,Anora,2024,https://boxd.it/9etPf3,3.5,,"está muy buena y tiene un final inesperado, pero podría haber sido mejor",,2025-03-25
2025-04-07,Life Is Beautiful,1997,https://boxd.it/9lkqcX,5,,pocas veces estuve tan cerca de llorar en una película,,2025-04-06
2025-04-09,(500) Days of Summer,2009,https://boxd.it/9mcazf,3,,"no sé por qué tarde tanto en puntuar esta película pero se me hizo medio pesada en su momento, entiendo ambas partes y que los dos estuvieron mal, pero ella es una hija de puta igual",,2025-04-08
2025-04-11,The Big Short,2015,https://boxd.it/9nuAdp,4,,"muy buena película, es realmente interesante y todo está muy bien explicado",,2025-04-11
2025-10-07,The Godfather Part II,1974,https://boxd.it/bidpw3,5,Yes,"Vista nuevamente, pero esta vez en el cine. Sin palabras, verdaderamente una de las mejores películas de la historia y actuación exorbitantes por parte de TODOS los actores incluidos. 🐐",,2025-10-07
2025-10-09,The Godfather,1972,https://boxd.it/bjl49R,5,Yes,"vista de nuevo por vez número 1000, pero en el cine, increíble como siempre",,2025-10-09
2025-11-25,The Dark Knight,2008,https://boxd.it/bPvNTt,4.5,,dios mío que pedazo de actuación de heath ledger,,2025-11-24
2026-02-03,Marty Supreme,2025,https://boxd.it/cXSPHb,4.5,,te quiero mucho marty,,2026-02-02
2026-02-14,Before Sunset,2004,https://boxd.it/d7lOiD,5,,te amo jesse,,2026-02-13
2026-02-16,Before Midnight,2013,https://boxd.it/d97c8Z,5,,que hombre que sos jesse,,2026-02-15
2026-02-26,Casablanca,1942,https://boxd.it/diXzEJ,4.5,,escandalosa película,,2026-02-25
2026-03-22,Project Hail Mary,2026,https://boxd.it/dCCM8z,4.5,,rocky ❤️,,2026-03-21
2026-05-01,Waiting for the Hearse,1985,https://boxd.it/ebbbGF,3.5,,no puedo creer lo que actúa antonio gasalla por dios,,2026-04-30
2026-05-25,Michael,2026,https://boxd.it/euRDbF,3.5,,solo un jackson podía interpretar así a michael,,2026-05-24
2026-05-26,Whiplash,2014,https://boxd.it/evvYw5,5,,wow.,,2026-05-25
2026-06-27,Obsession,2025,https://boxd.it/eX9aLH,4,,"visto con hermosa compañía, muy buena película pero muy predecible",,2026-06-26
2026-06-29,Amores Perros,2000,https://boxd.it/eZEBG5,4.5,,"que pedazo de película, gael garcía 🐐",,2026-06-28
2026-07-18,Voicemails for Isabelle,2026,https://boxd.it/fixD5d,3.5,,"buena película, la media estrella es por haberla visto bien acompañado",,2026-07-18
2026-08-14,Fight Club,1999,https://boxd.it/fOrN1r,4.5,,infernal actuación de brad pitt,,2026-08-13
